event_id,number_of_sources
147997,5
149221,1
149248,9
149249,1
149251,1
149250,8
153030,4
149866,3
149868,1
419757,1
149876,3
149879,2
398179,1
398183,1
149973,3
152957,10
399045,1
399046,1
399063,1
399053,2
153027,2
153037,2
153149,1
153143,3
153433,1
153154,7
153435,6
400158,1
153997,10
154007,2
400186,1
154030,6
417904,1
154034,7
400197,2
400200,1
406991,1
154047,4
154049,1
154050,7
154054,1
406994,1
154058,5
154062,1
406995,2
406996,2
154067,1
154068,2
407090,1
154070,2
154177,1
407094,1
407096,1
407098,1
407100,1
407136,1
154072,1
154074,1
154156,2
407173,1
154179,3
154178,1
154405,1
154404,1
154182,2
407195,1
154408,2
407196,1
154409,2
154410,1
154412,2
407199,1
407200,1
407305,1
418937,1
154734,1
407331,2
407334,1
392366,1
154413,3
407373,1
407414,2
407407,1
407408,1
407409,1
407410,1
407413,1
407417,1
154633,3
154652,2
407452,1
407453,1
408434,1
407513,1
407503,1
154666,1
154667,1
154690,1
407527,1
407529,1
407555,1
407573,1
407598,1
407615,2
407695,1
407696,1
154676,2
407710,3
407729,1
154679,7
407739,1
407740,1
407751,1
407752,1
154684,1
154683,1
407777,1
408080,1
408084,1
408085,1
408087,1
408093,1
408170,1
408159,1
408161,1
408166,1
408168,1
408179,1
408241,1
408227,1
408278,1
408238,2
408234,1
408277,1
154693,1
154692,2
155076,1
408255,1
408258,1
408261,1
408273,2
408253,1
417760,1
408280,1
408281,1
408291,1
408299,1
408303,1
408306,1
154696,1
154694,2
154697,3
154698,2
408318,1
408325,1
408334,1
408329,2
408406,1
408412,1
408421,1
154702,3
154703,1
408428,1
408430,1
408431,1
408441,1
408444,1
408447,1
408448,1
408460,1
408464,2
408465,1
408466,1
154707,1
154732,1
408497,1
408502,1
408487,1
408495,1
154847,1
154999,1
155000,1
410213,1
410216,1
410220,1
410223,1
410227,1
410232,2
410250,1
410672,1
410675,1
410679,1
410634,1
155003,1
155252,1
155005,1
410713,1
410717,1
410677,1
410722,1
410724,1
410725,1
411120,1
410759,1
410761,1
410870,1
410884,1
410929,1
410930,1
410933,1
410936,1
410882,1
419893,1
415148,1
155009,1
410976,1
410978,1
410985,1
410990,1
411063,1
417631,1
410987,2
411006,2
411016,1
411019,1
411058,1
411121,1
411126,1
411130,1
411112,1
411113,1
155016,3
415062,1
414867,1
414876,1
414877,1
414879,1
414882,1
414884,1
414885,1
414887,1
414889,1
414893,1
414895,1
155026,1
155109,3
411132,1
411135,1
411176,1
411180,1
411198,1
155039,1
155050,1
414919,1
414920,1
414934,1
414935,1
415079,1
414941,1
414942,1
414943,2
414944,1
414945,1
414946,1
414952,1
414990,1
414991,1
414992,1
414993,1
155058,1
415036,1
415047,1
415050,1
415051,1
